level,code,terrain,game_mode,player_powers,enemy_powers,speed,strategic_side,outcome,ticks,seconds,blue_population,red_population,blue_living_population,red_living_population,blue_mana,red_mana,blue_castles,red_castles,blue_peak_castles,red_peak_castles,blue_towns,red_towns,blue_action_markers,red_action_markers,blue_alive_slots,red_alive_slots,dead_slots,ruins,slots,war_tick,first_offense_tick,last_offense_tick,both_quakes,both_volcanoes,both_floods,both_knights,both_wars,blue_initial_population,red_initial_population,blue_initial_mana,red_initial_mana,state_hash,blue_exact_quakes,red_exact_quakes,blue_exact_swamps,red_exact_swamps,blue_exact_knights,red_exact_knights,blue_exact_volcanoes,red_exact_volcanoes,blue_exact_floods,red_exact_floods,blue_exact_wars,red_exact_wars,blue_unclassified_power_score,red_unclassified_power_score,blue_actual_towns,red_actual_towns,blue_actual_castles,red_actual_castles,blue_actual_knights,red_actual_knights,blue_actual_battles_won,red_actual_battles_won,blue_peak_actual_population,red_peak_actual_population,blue_peak_actual_towns,red_peak_actual_towns,blue_peak_actual_castles,red_peak_actual_castles,blue_peak_actual_knights,red_peak_actual_knights,blue_peak_actual_battles_won,red_peak_actual_battles_won
437,COROXOUT,0,16,63,63,1,1,ongoing,9600,1200.000,8379,64031,8379,64031,5435,84,0,0,27,30,0,0,0,0,17,77,97,0,191,9529,249,9529,67,25,0,26,1,45,135,399,2700,0c94a6d0bf141a84a307a380a338022d3639ad41cc25934e0cc724ecc0a891d3,51,16,5,0,16,10,25,0,0,0,0,1,0,0,0,0,0,0,0,0,359,38,26736,66102,10,104,27,30,6,1,359,38
438,BINEAT,0,16,63,63,1,0,win,6520,815.000,31222,0,31222,0,16484,-250,0,0,34,14,0,0,0,0,1,0,69,0,70,6281,505,6281,25,10,0,12,1,45,135,399,2700,edeeb3b22666405b2d44351f41732eccb75d24fadfaaf4e78b1cff3831402979,15,10,0,1,7,5,0,10,0,0,1,0,0,0,0,0,0,0,0,0,39,132,57800,14823,89,17,34,14,1,3,39,132
438,BINEAT,0,16,63,63,1,1,win,6503,812.875,0,35048,0,35048,-250,13922,0,0,19,25,0,0,0,0,0,2,142,0,144,6265,1385,6265,25,10,0,6,1,45,135,399,2700,3735fb116ed92115cf17931ebf5b662f7e26a31777c007ecd1fe4835ad4127b3,22,3,1,0,2,4,10,0,0,0,0,1,0,0,0,0,0,0,0,0,141,67,14840,73899,14,95,19,25,2,1,141,67
439,SADIKEBAR,0,16,63,63,1,0,loss,5211,651.375,0,59131,0,59131,-117,1206,0,36,1,36,0,6,0,0,0,69,2,0,71,0,1217,5202,1,18,0,9,0,45,135,399,2700,62be7fc67ecf2a065e68a7003a969fce8f7f458f191021f9db0e8d0b986db0ca,1,0,0,1,0,9,0,18,0,0,0,0,0,0,0,6,0,36,0,4,0,52,1743,59147,17,11,1,36,0,5,0,52
439,SADIKEBAR,0,16,63,63,1,1,ongoing,9600,1200.000,18993,45828,18993,45828,692,35835,0,0,22,19,0,0,0,0,1,3,127,0,131,7481,1601,7481,22,18,0,10,1,45,135,399,2700,c1e9d5e930ebd762a692b6796b384ddb7c7a100df6d94cfbe23f133b4a6c26c9,15,7,0,0,5,5,14,4,0,0,0,1,0,0,0,0,0,0,0,0,99,52,25101,88887,20,108,22,19,3,1,99,52
440,LOWOGOER,0,16,63,63,1,0,ongoing,9600,1200.000,18137,103042,18134,103042,3,2129,6,36,17,55,90,5,0,0,141,64,0,3,208,0,289,9593,120,56,0,27,0,45,135,399,2700,44aaf06a082b83d39383f52853e84cf2ae3f8878166e1d95050663084cc9a60a,6,114,0,1,0,27,0,56,0,0,0,0,0,0,92,5,6,36,0,7,28,585,18676,121980,100,15,17,55,0,8,28,585
440,LOWOGOER,0,16,63,63,1,1,ongoing,9600,1200.000,5792,33877,5792,33877,824,13724,0,0,26,29,0,0,0,0,1,3,181,0,185,7193,297,7193,32,22,0,12,1,45,135,399,2700,bcefa09337d27021a3c4c6a25386571e8c0788f32f150c75a3041c7f2cfc2379,23,9,2,0,8,4,22,0,0,0,0,1,0,0,0,0,0,0,0,0,353,90,29830,75836,15,127,27,29,4,1,353,90
441,QAZOLIN,0,16,63,63,1,0,loss,3643,455.375,2,40550,0,40550,-250,9127,0,39,6,39,0,11,0,0,0,64,13,2,79,0,393,3593,20,8,0,6,0,45,135,399,2700,d1c2c0313880188340d92f60a063753b0e6f6562da532f4b7b548cad3c58b1b4,2,18,0,1,0,6,0,8,0,0,0,0,0,0,0,12,0,38,0,3,0,76,4176,40586,28,14,6,39,0,4,0,76
441,QAZOLIN,0,16,63,63,1,1,win,8458,1057.250,0,36783,0,36783,-250,13830,0,0,26,40,0,0,0,0,0,3,49,0,52,8233,1001,8233,30,20,0,17,1,45,135,399,2700,0c7b745a0b5e36a2109cb43f9a2fefd32ac9eec409667bebcbf144da3391dc3c,21,9,5,0,8,9,20,0,0,0,0,1,0,0,0,0,0,0,0,0,207,46,23243,73299,23,102,26,40,3,1,207,46
442,VERYDEDON,0,16,63,63,1,0,loss,6867,858.375,1,103423,0,103423,-250,3727,0,42,11,48,0,2,0,0,0,61,26,1,88,0,441,6850,58,28,0,15,0,45,135,399,2700,aed751bfd8074129af68fc5148d4003d8b48204b4dca0646ccb3acb408f2ebd9,2,56,0,1,0,15,0,28,0,0,0,0,0,0,0,2,0,42,0,3,2,221,6969,103438,36,12,11,48,0,4,2,221
442,VERYDEDON,0,16,63,63,1,1,ongoing,9600,1200.000,110169,467,110169,467,7082,-123,45,0,45,16,0,0,0,0,59,1,74,0,134,0,1433,9548,17,52,0,24,0,45,135,399,2700,e8eabc2c5688cb93ccf991fcd30a06b9897da3d3f5b2416319a4612999e51042,0,17,2,0,23,1,52,0,0,0,0,0,0,0,0,0,45,0,4,0,298,8,110169,28422,17,71,45,16,6,1,298,8
